Blob ID,Mean Intensity,Std Deviation,Area,LBP Mean,LBP Std,Imain1,Imain2,Final Inertia,Prediction
25,92,0,1,0,0,45833,0,inf,Debris
26,97,0,1,0,0,18356,0,inf,Debris
27,92,0,1,0,0,91925,0,inf,Debris
28,93,0,1,0,0,129509,0,inf,Debris
29,91,0,1,0,0,57770,0,inf,Debris
30,93,0,1,0,0,61172,0,inf,Debris
31,106,11,2,0.5,0.5,256247.7613,2700.738713,94.88061917,Debris
32,95,0,1,0,0,52154,0,inf,Debris
33,115.25,23.32782673,4,2.125,1.452368755,15214.06024,1607.564762,9.464041884,Debris
34,91,0,1,0,0,8005,0,inf,Debris
35,92,1,2,0.5,0.5,78712.54115,3120.958855,25.22062764,Debris
36,95,0,1,0,0,90661,0,inf,Debris
37,127.5,36.17434634,6,2.666666667,0.942809042,178391.5537,0.612977452,291024.6587,Debris
38,94,0,1,0,0,113076,0,inf,Debris
39,101,0,1,0,0,51498,0,inf,Debris
40,107,0,1,0,0,62473,0,inf,Debris
41,96,0,1,0,0,69658,0,inf,Debris
42,92,0,1,0,0,73674,0,inf,Debris
43,109.3333333,18.15366507,3,1.75,1.089724736,86441.0181,0.093012684,929346.5608,Debris
44,103.6666667,10.78064109,3,1.5,1.118033989,130118.2967,0.147776638,880506.5421,Debris
45,122.6,28.26729559,5,2.444444444,1.065740339,270198.2235,0.776518799,347960.9558,Debris
46,92,0,1,0,0,84877,0,inf,Debris
47,92,0,1,0,0,110093,0,inf,Debris
48,109.5,15.5,2,0.5,0.5,23132.92383,2343.576169,9.870779598,Debris
49,93.66666667,1.699673171,3,1.5,1.118033989,272963.5451,0.232646451,1173297.697,Debris
50,113.6,23.30321866,5,1.833333333,1.067187373,164935.8537,6613.386337,24.93969734,Debris
51,94,0,1,0,0,27506,0,inf,Debris
52,117,0,1,0,0,125450,0,inf,Debris
53,99.75,2.947456531,4,1.75,1.299038106,37322.97747,0.022533036,1656367,Debris
54,134.6666667,40.32644569,6,1.833333333,1.067187373,65362.26604,6451.233958,10.13174634,Debris
55,99,0,1,0,0,42725,0,inf,Debris
56,146.8571429,37.9037449,7,2.333333333,1.054092553,316862.6918,0.695967717,455283.6062,Debris
57,124,27.43720102,5,1.833333333,1.067187373,220623.422,7904.817986,27.90999393,Debris
58,97,0,1,0,0,61417,0,inf,Debris
59,102,5,2,0.5,0.5,137814.4483,12064.05167,11.42356251,Debris
60,137.3333333,36.60904563,6,1.833333333,1.067187373,80083.91959,7898.580414,10.13902694,Debris
61,137.3846154,46.5180502,13,2.875,1.053268722,566008.7204,2.001523933,282788.8846,Star
62,105,0,1,0,0,133712,0,inf,Debris
63,95.5,4.5,2,0.5,0.5,81196.20582,7133.294178,11.38270816,Debris
64,91,0,1,0,0,62101,0,inf,Debris
65,91,0,1,0,0,125029,0,inf,Debris
66,100,0,1,0,0,102820,0,inf,Debris
67,94,0,1,0,0,68049,0,inf,Debris
68,115.5,9.313968005,4,1.5,1.118033989,173186.9009,0.09908948,1747782.917,Debris
69,91,0,1,0,0,82234,0,inf,Debris
70,105,0,1,0,0,141426,0,inf,Debris
71,121,0,1,0,0,48425,0,inf,Debris
72,128.75,21.68380732,4,1.5,1.118033989,114434.9807,0.019303538,5928186.875,Debris
73,102,0,1,0,0,97465,0,inf,Debris
74,108.3333333,18.89150309,6,1.833333333,1.067187373,415268.9507,13627.54934,30.47275342,Debris
75,105,8.041558721,3,1.5,1.118033989,182119.7113,0.066439815,2741123.079,Debris
76,108,0,1,0,0,116740,0,inf,Debris
77,105,8,2,0.5,0.5,263424.0677,11544.4323,22.81827818,Debris
78,94,0,1,0,0,64964,0,inf,Debris
79,97,0,1,0,0,111400,0,inf,Debris
80,93,0,1,0,0,88245,0,inf,Debris
81,96,0,1,0,0,165609,0,inf,Debris
82,94,0,1,0,0,158882,0,inf,Debris
83,97,0,1,0,0,157781,0,inf,Debris
84,94,0,1,0,0,102290,0,inf,Debris
85,105,0,1,0,0,109237,0,inf,Debris
86,127.25,24.51912519,4,1.5,1.118033989,129616.9999,0.000123441,1050035393,Debris
87,146.875,38.9821674,8,2.416666667,0.953793595,269006.2589,16996.74105,15.82693165,Debris
88,91,0,1,0,0,97498,0,inf,Debris
89,116,4,2,0.5,0.5,56962.50159,9661.998414,5.895519658,Debris
90,92,0,1,0,0,156725,0,inf,Debris
91,97,0,1,0,0,174101,0,inf,Debris
92,112,16.38596961,4,1.5,1.118033989,195194.9784,0.021645024,9018007.002,Debris
93,103,0,1,0,0,107545,0,inf,Debris
94,98.5,4.5,2,0.5,0.5,256143.0409,16629.45911,15.40296886,Debris
95,93,0,1,0,0,168633,0,inf,Debris
96,130,16.95582496,4,1.5,1.118033989,77320.66058,0.33941769,227803.8619,Debris
97,96,4.966554809,3,1.75,1.089724736,162366.4431,0.001385754,117168274.6,Debris
98,96,0,1,0,0,92314,0,inf,Debris
99,135,39.26103121,7,2.222222222,1.030402055,179577.2893,0.098462521,1823813.641,Debris
